PackedDate,CustomerPO,ShipVia,TrackingNumber,UPC,Product,TotalQty
11/01/2024,28671,UPS Ground,1Z93WF100356940837,190480603003,4802-JADE-LG,1
11/01/2024,28671,UPS Ground,1Z93WF100356940837,190480603294,9812-JADE-SM,1
